course,topic,subtopic,question1,question2,question3,question4,question5
Career & Education Planning,Choosing a career,,What are the best career options available for me after high school?,How do I determine what career path is best suited for my interests and skills?,What kind of education or training is required for my desired career?,What can I do now to prepare to become a medical doctor?,I really like math. What careers should I consider?
Career & Education Planning,Preparing for college,,What are the requirements for applying to college?,How do I choose which colleges to apply to?,What should I include in my college application?,How do I write a strong college essay?,How can I find financial aid options are available to me?
English/Language Arts,Literature,American,How does the theme of the American Dream manifest in the novel 'The Great Gatsby' by F. Scott Fitzgerald?,How does the use of dialect contribute to the portrayal of characters in 'Their Eyes Were Watching God' by Zora Neale Hurston?,How does the setting of the Great Depression impact the characters and their struggles in 'The Grapes of Wrath' by John Steinbeck?,How does the use of symbolism enhance the reader's understanding of the story in 'The Scarlet Letter' by Nathaniel Hawthorne?,How does the characterization of Atticus Finch challenge societal norms in 'To Kill a Mockingbird' by Harper Lee?
English/Language Arts,Literature,British,How does the use of symbolism contribute to the theme of morality in 'Lord of the Flies' by William Golding?,How does the historical context of the Victorian era influence the themes in 'Wuthering Heights' by Emily Bronte?,How does the use of allegory add depth to 'Animal Farm' by George Orwell?,How does the use of satire contribute to the overall message of 'Gulliver's Travels' by Jonathan Swift?,How does the use of foreshadowing create suspense in 'Macbeth' by William Shakespeare?
English/Language Arts,Literature,World,How does the portrayal of love and relationships in 'One Hundred Years of Solitude' by Gabriel Garcia Marquez reflect the cultural values of Latin America?,How does the use of magical realism in 'The House of the Spirits' by Isabel Allende contribute to the overall themes of the novel?,How does the portrayal of the natural world in 'The Old Man and the Sea' by Ernest Hemingway reflect the human experience?,How does the use of multiple narrators in 'Things Fall Apart' by Chinua Achebe contribute to the overall themes of the novel?,How does the use of imagery and metaphor in 'The Road' by Cormac McCarthy enhance the reader's understanding of the post-apocalyptic world?
English/Language Arts,Writing,Expository,What are the key differences between expository and persuasive writing?,How can a writer use examples and evidence to support their argument in expository writing?,What are some common organizational structures used in expository writing?,How can a writer use transition words to connect ideas in expository writing?,How can a writer use effective introductions and conclusions in expository writing?
English/Language Arts,Writing,Persuasive,How can a writer establish credibility in persuasive writing?,What are some common persuasive techniques used in writing and how effective are they?,How can a writer address opposing viewpoints in persuasive writing?,How can a writer use emotional appeals to persuade their audience?,How can a writer use evidence and statistics to strengthen their argument in persuasive writing?
English/Language Arts,Writing,Creative,What makes a story engaging?,How can you use sensory details to make your writing more vivid?,How do you develop characters in your writing?,What is the importance of setting in creative writing?,How can you use dialogue effectively in your stories?
English/Language Arts,Writing,Research,What are the steps involved in conducting research?,How can you effectively integrate research into your writing?,What are some reliable sources for research?,What is the importance of citing sources in research writing?,How can you avoid plagiarism in your research writing?
English/Language Arts,Grammar and Usage,,What are the most common grammatical errors in writing?,How can you improve your sentence structure?,What are some common punctuation mistakes and how can you avoid them?,How can you use proper verb tense in your writing?,What is the importance of proofreading and editing your writing?
